country,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100,lat,long
China,8119.83,10183.5,11691.72,13214.98,14392.86,13760.04,12357.18,10710.9,8890.1,7206.88,5882.87,39.9042,116.4074
US,8638.54,7826.82,7774.39,6937.23,6137.59,5328.93,4466.98,3766.46,3126.9,2572.73,2117.8,37.0902,-95.7129
EU,6418.67,6014.02,5380.26,5034.74,4432.07,3867.8,3296.3,2715.08,2182.8,1746.53,1399.65,54.526,15.2551
India,3382.16,4107.24,5760.65,8060.37,11294.85,14417.78,16281.34,16232.38,14930.92,13018.87,11020.6,28.6139,77.209
