screen_name,text,sentiment,score,time
APeninsulaMan,"@pudderboy i can just hear Obama. ""I won't stand up on  climate change/planet  til Koch brothers/tea party  does."".. @RBReich @SenSanders",negative,-0.264179,Sun Apr 17 00:03:18 +0000 2016
gradymcg,15 min. of wisdom on climate change from Sen. Whitehouse  on the senate floor (even the Koch brothers are waking up) https://t.co/wbs9SAA3Io,neutral,0,Fri Apr 15 21:31:15 +0000 2016
ProfessorDoye,"A Koch brother on Wheel of Fortune:
*buys a vowel
*makes it denounce climate change",negative,-0.0190698,Tue Apr 12 22:40:43 +0000 2016
newfoodeconomy,Skimmed the @grist article on the Koch brothers and climate change? Test your knowledge on the week's food news. https://t.co/t2PUSEHEVV,neutral,0,Thu Apr 14 14:01:35 +0000 2016
GoodbyeKoch,#Koch ALEC and Big Polluters Try to Attack Limits on #ClimateChange Pollution One State at a Time | Common Dreams https://t.co/Fv3ah2gO31 …,negative,-0.560906,Mon Apr 18 02:40:39 +0000 2016
kochbuster52,"@climateprogress @thinkprogress  So tell us Cruz/Koch, is Greenland in on the climate change hoax?",negative,-0.475448,Sun Apr 17 01:05:32 +0000 2016
APeninsulaMan,"@pudderboy i can just hear Obama. ""I won't stand up on  climate change/planet  til Koch brothers/tea party  does."".. @RBReich @SenSanders",negative,-0.264179,Sun Apr 17 00:03:18 +0000 2016
gradymcg,15 min. of wisdom on climate change from Sen. Whitehouse  on the senate floor (even the Koch brothers are waking up) https://t.co/wbs9SAA3Io,neutral,0,Fri Apr 15 21:31:15 +0000 2016
newfoodeconomy,Skimmed the @grist article on the Koch brothers and climate change? Test your knowledge on the week's food news. https://t.co/t2PUSEHEVV,neutral,0,Thu Apr 14 14:01:35 +0000 2016
